product_id,name,price,categories,brand
3182550933018_UD,Royal Canin Veterinary Dog Mobility Support 12 Kg,73.95,"Perro, 2, Dieta Seca",Royal Canin
5031812505709_UD,Vetplus Dog Sustain Probiotico Razas Grandes,29.65,"Perro, Salud Prebioticos y Probioticos, B",Vetplus
5410340614747_UD,Versele Laga Small Mammals Rabbit Cuni Adult Complete 1.75 kg,17.95,"PMamifero, Alimento Menu, 1",Versele Laga
5420036914853_UD,Capstar Antiparasitario 6 Comp para Perros y Gatos menos de 10 kg 11 mg,11.95,"Perro, 2, Salud Antiparasitarios",Elanco
5420036941026_UD,Vetriderm Solución Tópica 350 ml,21.1,"Perro, Salud Botiquin y Farmacia, B",Elanco
7613287588005_UD,Purina Dog  Veterinary Diets HA Hipoalergenico 3 kg,36.75,"Perro, C, Dieta Seca",Proplan Veterinary Diets
7613287597458_UD,"Purina Cat Veterinary Diets HA Hypoallergenic 1,3 kg",19.35,"Gato, Dieta Seca, B",Proplan Veterinary Diets
8430336092066_UD,Bioiberica Dog Pro-enteric 30 ml,15.95,"Perro, Salud Cuidados Específicos, B",Bioiberica
8434744020710_UD,Ica Fish Nano Aqualed 10L,49.95,"Pez, Habitat Acuario, D",Ica
ACA00002_UD,Frontline Spray Antiparasitario Pack Ahorro 2x250ml,56.98,"F, Humana, Hogar y Accesorio",Frontline
ACA43600_UD,ACANA Ranchlands 6 kg,56.99,"Perro, Alimento Seco, F, C - digital",Acana
ACA560614_UD,"Acana Prairie Poultry para Perro pienso para perros, Peso 6 Kg",37.69,"A - digital, test_category, Gato, Alimento Seco, Z",Acana
ACA561604_UD,ACANA Classics Red 6 Kg,42.59,"Perro, A - digital, test_category, Alimento Seco, F",Acana
ACA562120_UD,9.7 kg Acana Wild Coast Para Perro Pienso Para Perros Con Pescado 9.7 Kg,56.5,"Perro, AAA - digital, Alimento Seco, B",Acana
ACA562175_UD,14.5 Kg Acana Wild Coast Para Perro Pienso Para Perros Con Pescado,82.5,"Perro, A, AAA - digital, Alimento Seco",Acana
ACA562205_UD,2 Kg. Acana Wild Coast Para Perro Pienso Para Perros Con Pescado,17.5,"Perro, Alimento Seco, F, B - digital",Acana
ACA562601_UD,"Acana Wild Coast para Perro pienso para perros con pescado, Peso 6 Kg",43.59,"Perro, test_category, Alimento Seco, F, B - digital",Acana
ACA572204_UD,ACANA Yorkshire Cerdo 2Kg,20.89,"Perro, Alimento Seco, F, C - digital",Acana
ACA73126_UD,Acana Dog pacific pilchard 11.4Kg,69.95,"Perro, Alimento Seco",Acana
ACA73201_UD,ACANA Pacific Pilchard 2 kg,19.5,"Perro, Alimento Seco, GEN",Acana
ACA73607_UD,ACANA Pacific Pilchard 6kg,47.95,"Perro, Alimento Seco, GEN",Acana
ADP08442_UD,Adaptil Tranquilizante De Acción Rápida Dog Chew 30uds 1 Unidad.,29.95,"Perro, Salud Comportamiento, B",Adaptil
ADP11665_UD,Adaptil Collar Adulto Calmante Natural Para Perros 45 Cm,24.2,"Perro, Salud Comportamiento, B - digital, D",Adaptil
ADP11667_UD,Adaptil Collar Adulto Calmante Natural Para Perros 70 Cm,25.95,"Perro, Salud Comportamiento, C, B - digital",Adaptil
ADP13375_UD,Adaptil Spray Perro Calmante Natural Para Perros 60 Ml,21.95,"Perro, Salud Comportamiento, C, A - digital",Adaptil
ADP16925_UD,Adaptil Difusor Eléctrico Calmante Natural Para Perros 48 Ml,25.95,"Perro, Salud Comportamiento, C, B - digital",Adaptil
ADP16934_UD,Adaptil Recambio De Difusor Calmante Natural Para Perros 48 Ml,22.1,"Perro, Salud Comportamiento, C, B - digital",Adaptil
ADP94043_UD,Adaptil Collar Junior Calmante Natural Para Perros 37.5 Cm,24.95,"Perro, Salud Comportamiento, C - digital, D",Adaptil
ADV00934_UD,3 Kg. Advance Cachorro Sensitive Salmón Y Arroz  Puppy Perros Sensibles,21.99,"Perro, C, Alimento Seco, C - digital",Affinity Advance
ADV00935_UD,12 Kg Advance Cachorro Sensitive Salmón Y Arroz  Puppy Perros Sensibles,71.99,"Perro, C, Alimento Seco, C - digital",Affinity Advance
ADV15013_UD,3 Kg. Advance Cachorro Razas Pequeñas  Puppy Small Breed,21.99,"Perro, Alimento Seco, AA, C - digital",Affinity Advance
ADV15014_UD,"7,5 Kg Advance Cachorro Razas Pequeñas  Puppy Small Breed",39.99,"Perro, Alimento Seco, C - digital, Z",Affinity Advance
ADV15018_UD,3 Kg. Advance Adulto Razas Pequeñas Pienso Para Perros Small Breed,20.69,"Perro, Alimento Seco, AAA, C - digital",Affinity Advance
ADV15019_UD,"7,5 Kg Advance Adulto Razas Pequeñas Pienso Para Perros Small Breed",36.49,"Perro, A - digital, Alimento Seco, Z",Affinity Advance
ADV15022_UD,3 Kg. Advance Light Razas Pequeñas Pienso Para Perros Small Breed,20.99,"Perro, Alimento Seco, AA, C - digital",Affinity Advance
ADV15025_UD,3 Kg. Advance Adult +8 Años Razas Pequeñas Pienso Para Perros Mayores Senior Small Breed,20.99,"Perro, Alimento Seco, B - digital, AA",Affinity Advance
ADV15029_UD,3 Kg. Advance Cachorro Razas Medianas  Puppy Medium Breed,20.69,"Perro, A, Alimento Seco, C - digital",Affinity Advance
ADV15035_UD,3 Kg. Advance Adulto Razas Medianas Pienso Para Perros Medium Breed,16.99,"Perro, Alimento Seco, B - digital, AA",Affinity Advance
ADV15040_UD,3 Kg. Advance Light Razas Medianas Pienso Para Perros Medium Breed,21.99,"Perro, Alimento Seco, AA, C - digital",Affinity Advance
ADV15044_UD,3 Kg. Advance Adult +7 Años Razas Medianas Pienso Para Perros Mayores Senior Medium Breed,21.99,"Perro, A, Alimento Seco, B - digital",Affinity Advance
ADV15048_UD,3 Kg. Advance Cachorro Razas Grandes Pienso Puppy Large Breed,21.99,"Perro, C, Alimento Seco, C - digital",Affinity Advance
ADV15071_UD,3 Kg. Advance Adulto Sensitive Con Salmón Y Arroz Pienso Para Perros Con Sensibilidad,19.59,"Perro, A, Alimento Seco, C - digital",Affinity Advance
ADV15159_UD,1.5 Kg. Advance Gatos Esterilizados Pavo Y Cebada Pienso. Neutered Cats Turkey,13.99,"Gato, Alimento Seco, B - digital, AA",Affinity Advance
ADV15165_UD,3 Kg. Advance Adulto Salmón Y Arroz Pienso Para Gatos Salmon & Rice,26.99,"Gato, Alimento Seco, F, C - digital",Affinity Advance
ADV15189_UD,1.5 Kg. Advance Kitten Pollo Y Arroz Pienso Para Gatitos Chicken & Rice,14.99,"A, Gato, Alimento Seco, C - digital",Affinity Advance
ADV15194_UD,3 Kg. Advance Adulto Pollo Y Arroz Pienso Para Gatos Adultos Chicken & Rice,21.99,"Gato, Alimento Seco, B - digital, AA",Affinity Advance
ADV15200_UD,1.5 Kg. Advance Adulto Salmón Y Arroz Pienso Para Gatos Salmon & Rice,16.99,"C, Gato, Alimento Seco, C - digital",Affinity Advance
ADV15210_UD,"1,5 Kg. Advance Hairball Con Pavo Y Arroz Pienso. Turkey & Rice Esterilized Bolas De Pelo",14.99,"Gato, Alimento Seco, F, C - digital",Affinity Advance
